product,category,sub_category,brand,type
Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,Hair Oil & Serum
Water Bottle - Orange,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,Water & Fridge Bottles
"Brass Angle Deep - Plain, No.2",Cleaning & Household,Pooja Needs,Trm,Lamp & Lamp Oil
Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,"Laundry, Storage Baskets"
Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,Bathing Bars & Soaps
Germ - Removal Multipurpose Wipes,Cleaning & Household,All Purpose Cleaners,Nature Protect,Disinfectant Spray & Cleaners
Multani Mati,Beauty & Hygiene,Skin Care,Satinance,Face Care
Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Bath & Hand Wash,Bionova,Hand Wash & Sanitizers
Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Hair Care,StBotanica,Shampoo & Conditioner
"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,"Utensil Scrub-Pad, Glove"
Wheat Grass Powder - Raw,Gourmet & World Food,Cooking & Baking Needs,NUTRASHIL,Flours & Pre-Mixes
Butter Cookies Gold Collection,Gourmet & World Food,Chocolates & Biscuits,Sapphire,"Luxury Chocolates, Gifts"
"Face Wash - Oil Control, Active",Beauty & Hygiene,Skin Care,Oxy,Face Care
Mold & Mildew Remover with Bleach,Cleaning & Household,All Purpose Cleaners,Clorox,Floor & Other Cleaners
Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Fresheners & Repellents,Herbal Strategi,Mosquito Repellent
Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,Soap Cases & Dispensers
Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Skin Care,Aroma Treasures,Aromatherapy
Salted Pumpkin,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Graminway,Roasted Seeds & Nuts
Flax Seeds - Roasted,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,Roasted Seeds & Nuts
Organic Tofu - Soy Paneer,Gourmet & World Food,Dairy & Cheese,Murginns,Tofu
Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Hair Care,Bronson Professional,Tools & Accessories
Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,Imported Noodles
Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,Other Dry Fruits
Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Drinks & Beverages,Cambridge Tea Party,Gourmet Tea & Tea Bags
Veggie Cutter,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,Choppers & Graters
Insulated Hot Fresh Casserole For Roti/Chapati - White,"Kitchen, Garden & Pets",Flask & Casserole,Cello,Casserole
Granola - Happy Berries,Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,Granola & Cereal Bars
Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,Other Dry Fruits
Paratha Puff,Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,Frozen Veg Snacks
Lip Butter - Rose,Beauty & Hygiene,Skin Care,Organic Harvest,Lip Care
Fruit Power - Masala Sugarcane,Beverages,Fruit Juices & Drinks,Real,Juices
Chocobakes Choc Filled Cookies,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cadbury,"Bakery Biscuits, Cookies"
Amber - Deodorant Body Spray,Beauty & Hygiene,Fragrances & Deos,Old Spice,Men's Deodorants
Green Tea - Tulsi Loose Leaf,Beverages,Tea,Octavius,Green Tea
Pet Solitaire Container Set - Silver,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,Containers Sets
Dhania - Dal,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,Whole Spices
Pudina Chutney Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,Blended Masalas
Bodylicious Deodorant Spray - Mate (For Men),Beauty & Hygiene,Fragrances & Deos,Engage,Men's Deodorants
"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Men's Grooming,Engage,Men's Deodorants
Choco Deck - Mini Delights,Snacks & Branded Foods,Chocolates & Candies,Fabelle,Chocolates
Eau De Toilette - Homme Green,Beauty & Hygiene,Fragrances & Deos,Colour Me,Eau De Toilette
Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Bath & Hand Wash,Liril,Bathing Bars & Soaps
Flavoured Cream Wafer Roll - Strawberry,Gourmet & World Food,Chocolates & Biscuits,Twister,"Cookies, Biscotti, Wafer"
Storage/Lunch Steel Container with PP Lid - Red,"Kitchen, Garden & Pets",Steel Utensils,Classic Essentials,Steel Lunch Boxes
